date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,year,month,day
2014-05-02,604000.0,3,2,3240.0,7683.0,2,no,average,average,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,2014,5,2
2014-05-02,440000.0,2,1,800.0,4850.0,1,no,No,good,800,0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA,2014,5,2
2014-05-02,287200.0,3,3,1850.0,7683.0,1,no,No,good,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,2014,5,2
2014-05-02,403000.0,3,2,1960.0,7683.0,1,no,average,excellent,1650,310,1957,0,17825 4th Ave SW,Burien,WA 98166,USA,2014,5,2
2014-05-02,750000.0,3,2,2390.0,6550.0,1,no,average,good,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,2014,5,2
2014-05-02,335000.0,3,2,1580.0,7683.0,1,no,No,good,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,2014,5,2
2014-05-02,260000.0,4,2,1480.0,8625.0,1,no,No,good,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,2014,5,2
2014-05-02,308500.0,2,1,850.0,6174.0,1,no,No,good,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,2014,5,2
2014-05-02,439950.0,3,2,1770.0,2875.0,2,no,No,average,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,2014,5,2
2014-05-02,235000.0,2,1,1210.0,9400.0,1,no,No,fair,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,2014,5,2
2014-05-02,315000.0,3,1,1160.0,9180.0,1,no,No,average,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,2014,5,2
2014-05-02,437500.0,3,2,1970.0,7683.0,2,no,No,good,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,2014,5,2
2014-05-02,407500.0,3,2,1930.0,10460.0,2,no,No,average,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,2014,5,2
2014-05-02,445700.0,3,2,1270.0,1180.0,3,no,No,average,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,2014,5,2
2014-05-02,838000.0,4,2,3310.0,7683.0,2,no,No,average,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,2014,5,2
2014-05-02,630000.0,4,2,2710.0,7683.0,2,no,No,average,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,2014,5,2
2014-05-02,550000.0,3,1,2910.0,7683.0,1,no,No,average,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,2014,5,2
2014-05-02,805000.0,3,2,2710.0,4500.0,1,no,No,good,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,2014,5,2
2014-05-02,284000.0,3,1,1800.0,7683.0,1,no,No,average,1800,0,1968,1997,32418 NE 50th St,Carnation,WA 98014,USA,2014,5,2
2014-05-02,470000.0,5,2,2210.0,9655.0,1,no,No,average,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,2014,5,2
2014-05-02,430000.0,4,1,1920.0,10000.0,1,no,No,good,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,2014,5,2
2014-05-02,491500.0,4,1,2190.0,7683.0,1,no,average,average,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,2014,5,2
2014-05-02,785000.0,5,3,3660.0,11995.0,2,no,average,average,1590,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,2014,5,2
2014-05-02,385000.0,3,3,1320.0,1327.0,2,no,No,average,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,2014,5,2
2014-05-02,295000.0,2,2,1630.0,1368.0,2,no,No,average,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,2014,5,2
2014-05-02,555000.0,4,2,3310.0,6500.0,2,no,No,average,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,2014,5,2
2014-05-02,459990.0,3,2,2680.0,5539.0,2,no,No,average,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,2014,5,2
2014-05-02,625000.0,4,3,2730.0,7683.0,1,no,No,average,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,2014,5,2
2014-05-02,300000.0,3,2,2540.0,5050.0,2,no,No,average,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,2014,5,2
2014-05-03,625000.0,4,2,2920.0,6605.0,2,no,No,average,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,2014,5,3
2014-05-03,553000.0,2,1,900.0,5000.0,1,no,No,average,900,0,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA,2014,5,3
2014-05-03,379880.0,3,2,1650.0,7683.0,1,no,No,good,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,2014,5,3
2014-05-03,310000.0,3,1,1010.0,9945.0,1,no,No,good,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,2014,5,3
2014-05-04,775000.0,2,2,2680.0,7392.0,1,no,No,average,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,2014,5,4
2014-05-04,365000.0,3,2,2200.0,7350.0,1,no,No,excellent,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,2014,5,4
2014-05-04,331950.0,4,2,2530.0,9933.0,2,no,average,average,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,2014,5,4
2014-05-04,783500.0,3,2,2850.0,7130.0,2,no,No,average,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,2014,5,4
2014-05-04,628000.0,4,2,2280.0,6010.0,1,no,No,average,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,2014,5,4
2014-05-05,560000.0,3,2,1900.0,8744.0,2,no,No,average,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,2014,5,5
2014-05-05,900000.0,3,1,1330.0,7683.0,1,no,No,average,1330,0,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA,2014,5,5
2014-05-05,531000.0,2,3,1270.0,1175.0,2,no,No,average,1110,160,2000,0,1411 N 48th St,Seattle,WA 98103,USA,2014,5,5
2014-05-05,831000.0,4,3,2170.0,4000.0,2,no,No,good,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,2014,5,5
2014-05-05,780000.0,4,2,2730.0,10281.0,2,no,average,average,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,2014,5,5
2014-05-05,755000.0,4,2,2120.0,10202.0,1,no,No,good,1620,500,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,2014,5,5
2014-05-05,705380.0,3,2,2490.0,4343.0,2,no,No,average,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,2014,5,5
2014-05-05,627000.0,4,2,1990.0,7712.0,1,no,No,average,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,865000.0,4,3,3690.0,9892.0,2,no,No,average,1590,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,2014,5,5
2014-05-05,580000.0,2,1,2540.0,7000.0,1,no,No,excellent,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,2014,5,5
2014-05-05,410000.0,3,2,1800.0,7683.0,1,no,No,good,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,485000.0,4,3,2340.0,7048.0,1,no,No,good,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,2014,5,5
2014-05-05,400000.0,2,1,2110.0,9519.0,1,no,No,fair,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,2014,5,5
2014-05-05,549000.0,2,1,1140.0,5400.0,1,no,No,excellent,1140,0,1908,0,209 30th Ave E,Seattle,WA 98112,USA,2014,5,5
2014-05-05,620000.0,3,1,1480.0,2185.0,2,no,No,average,1480,0,2005,0,10512 128th Ave NE,Kirkland,WA 98033,USA,2014,5,5
2014-05-05,405000.0,2,3,1410.0,1240.0,2,no,No,average,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,2014,5,5
2014-05-05,232000.0,2,1,1200.0,8063.0,1,no,No,good,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,2014,5,5
2014-05-05,800866.0,5,2,3180.0,7683.0,2,no,No,good,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,2014,5,5
2014-05-05,650000.0,3,1,2160.0,9000.0,1,no,average,good,1400,760,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,2014,5,5
2014-05-05,823000.0,3,1,2920.0,5000.0,2,no,No,good,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,2014,5,5
2014-05-05,770000.0,3,2,2350.0,5700.0,1,no,No,good,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,2014,5,5
2014-05-05,524000.0,3,1,1560.0,5520.0,1,no,No,good,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,2014,5,5
2014-05-05,541125.0,5,2,2740.0,8426.0,1,no,No,good,1370,0,1960,2001,5211 116th Pl SE,Bellevue,WA 98006,USA,2014,5,5
2014-05-05,670000.0,3,2,1680.0,2000.0,3,no,No,average,1680,0,1909,1998,3503 NE 44th St,Seattle,WA 98105,USA,2014,5,5
2014-05-05,384900.0,5,2,3090.0,7683.0,1,no,No,average,1750,0,1968,1997,114 SW 292nd St,Federal Way,WA 98023,USA,2014,5,5
2014-05-05,406100.0,3,2,1410.0,1332.0,3,no,No,average,1410,0,2005,0,8536 Interlake Ave N,Seattle,WA 98103,USA,2014,5,5
2014-05-05,469000.0,5,3,4010.0,8510.0,2,no,poor,excellent,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,2014,5,5
2014-05-05,736500.0,4,2,3180.0,7683.0,2,no,good,average,3180,0,2000,0,17132 SE 100th St,Renton,WA 98059,USA,2014,5,5
2014-05-05,570000.0,3,2,2010.0,6000.0,1,no,No,average,1330,680,1975,0,10204 168th Pl NE,Redmond,WA 98052,USA,2014,5,5
2014-05-05,787000.0,3,1,1330.0,7500.0,1,no,No,average,1330,0,1961,2004,218 109th Ave SE,Bellevue,WA 98004,USA,2014,5,5
2014-05-05,328000.0,4,2,2370.0,6500.0,2,no,No,average,2370,0,1998,2006,12621 SE 300th Way,Auburn,WA 98092,USA,2014,5,5
2014-05-05,435000.0,5,2,1840.0,9240.0,1,no,No,good,1540,300,1942,1958,14013 Ashworth Ave N,Seattle,WA 98133,USA,2014,5,5
2014-05-05,499000.0,4,2,2910.0,6479.0,2,no,No,average,2910,0,2006,0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,2014,5,5
2014-05-05,501000.0,4,1,2070.0,7519.0,1,no,No,average,1160,910,1963,2008,2506 166th Ave NE,Bellevue,WA 98008,USA,2014,5,5
2014-05-05,469000.0,4,2,1980.0,7683.0,2,no,No,average,1590,0,1992,0,8814 218th Ave NE,Redmond,WA 98053,USA,2014,5,5
2014-05-05,400000.0,2,1,840.0,5510.0,1,no,No,average,840,0,1955,2005,4515 SW Trenton St,Seattle,WA 98136,USA,2014,5,5
2014-05-05,220000.0,4,1,1240.0,9600.0,1,no,No,average,1240,0,1971,0,4924 SW 314th Pl,Federal Way,WA 98023,USA,2014,5,5
2014-05-05,657100.0,4,1,1390.0,4240.0,1,no,No,average,1050,340,1924,2011,4312 Woodlawn Ave N,Seattle,WA 98103,USA,2014,5,5
2014-05-05,309950.0,4,2,2310.0,5000.0,2,no,No,average,2310,0,2006,0,22912 SE 268th Pl,Maple Valley,WA 98038,USA,2014,5,5
2014-05-05,300000.0,3,2,1050.0,10072.0,1,no,No,average,1050,0,1986,0,27106 NE Miller St,Duvall,WA 98019,USA,2014,5,5
2014-05-05,525888.0,5,1,2550.0,7683.0,1,no,No,excellent,1810,740,1960,0,13129 195th Pl SE,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,740000.0,4,1,2010.0,3600.0,1,no,No,average,2010,0,1902,0,1014 W Garfield St,Seattle,WA 98119,USA,2014,5,5
2014-05-05,340000.0,5,1,1120.0,9022.0,1,no,No,good,1120,0,1962,0,14150 75th Ave NE,Kirkland,WA 98034,USA,2014,5,5
2014-05-05,398750.0,3,2,2230.0,4000.0,2,no,No,average,2230,0,1954,2005,2601 21st Ave S,Seattle,WA 98144,USA,2014,5,5
2014-05-05,206000.0,2,1,810.0,7158.0,1,no,No,excellent,810,0,1944,0,12807 7th Ave S,Burien,WA 98168,USA,2014,5,5
2014-05-05,469000.0,5,2,3190.0,7683.0,1,no,good,average,1690,0,1976,0,4529 135th Ave SE,Bellevue,WA 98006,USA,2014,5,5
2014-05-05,600000.0,3,1,1670.0,7683.0,1,no,No,good,1670,0,1976,1992,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,2014,5,5
2014-05-05,379950.0,4,1,1970.0,9389.0,1,no,No,excellent,1140,830,1960,0,1701 N 204th Pl,Shoreline,WA 98133,USA,2014,5,5
2014-05-05,287000.0,3,1,1450.0,7683.0,1,no,No,good,1450,0,1953,1983,8681 Beacon Ave S,Seattle,WA 98118,USA,2014,5,5
2014-05-05,469000.0,3,2,1980.0,7683.0,3,no,excellent,average,1590,0,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,2014,5,5
2014-05-05,309950.0,3,2,1980.0,7838.0,2,no,No,average,1590,0,1994,0,17717 113th Pl SE,Renton,WA 98055,USA,2014,5,5
2014-05-05,600000.0,3,1,1880.0,6360.0,1,no,No,good,1040,840,1945,0,8040 39th Ave NE,Seattle,WA 98115,USA,2014,5,5
2014-05-05,418000.0,3,2,1410.0,6030.0,1,no,No,good,1410,0,1930,0,901 N 97th St,Seattle,WA 98103,USA,2014,5,5
2014-05-05,449250.0,4,2,1480.0,3844.0,1,no,No,excellent,1480,0,1928,1970,519 N 104th St,Seattle,WA 98133,USA,2014,5,5
2014-05-05,329950.0,2,1,1140.0,5250.0,1,no,No,good,1140,0,1949,1985,14017 Roslyn Pl N,Seattle,WA 98133,USA,2014,5,5
2014-05-05,245000.0,3,1,1920.0,9306.0,1,no,No,average,1000,920,1984,0,30001-30021 55th Pl S,Auburn,WA 98001,USA,2014,5,5
2014-05-05,549000.0,4,2,2910.0,6338.0,2,no,No,average,2910,0,2008,0,16026 SE 137th Terrace,Renton,WA 98059,USA,2014,5,5
2014-05-05,800000.0,3,2,3240.0,7857.0,2,no,No,average,3240,0,1994,0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,2014,5,5
2014-05-05,249950.0,3,2,1550.0,7683.0,1,no,No,good,1550,0,1958,1972,18027 SE 128th St,Renton,WA 98059,USA,2014,5,5
2014-05-05,210000.0,5,2,2050.0,10200.0,1,no,No,average,1430,620,1956,2001,20927-20999 2nd Ave S,Des Moines,WA 98198,USA,2014,5,5
2014-05-05,469000.0,2,2,2220.0,4000.0,2,no,No,average,2220,0,2000,0,1857 41st Ave E,Seattle,WA 98112,USA,2014,5,5
2014-05-05,585000.0,2,1,1770.0,8640.0,1,no,No,average,1520,250,1949,1998,353 NW 88th St,Seattle,WA 98117,USA,2014,5,5
2014-05-05,615000.0,4,1,2300.0,11700.0,1,no,No,good,1960,340,1977,0,18427 NE 26th Way,Redmond,WA 98052,USA,2014,5,5
2014-05-05,618500.0,3,2,1800.0,5000.0,1,no,No,good,1080,720,1942,1982,2803 NE 62nd St,Seattle,WA 98115,USA,2014,5,5
2014-05-05,487585.0,4,1,2010.0,9211.0,1,no,No,average,1470,540,1977,2004,13313 127th Pl NE,Kirkland,WA 98034,USA,2014,5,5
2014-05-05,509900.0,3,2,1790.0,2700.0,2,no,No,average,1790,0,2010,0,4532 185th Ave SE,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,631625.0,4,2,2440.0,6651.0,2,no,No,average,2440,0,2014,0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,2014,5,5
2014-05-05,555000.0,3,2,1940.0,3211.0,2,no,No,average,1940,0,2009,0,4509 185th Ave SE,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,340000.0,2,1,1160.0,1438.0,2,no,No,average,1160,0,2001,0,1318 29th Ave S,Seattle,WA 98144,USA,2014,5,5
2014-05-05,830000.0,4,2,3400.0,9692.0,2,no,No,average,3400,0,2007,0,12001 173rd Pl NE,Redmond,WA 98052,USA,2014,5,5
2014-05-05,890000.0,4,2,1980.0,5750.0,2,no,No,average,3410,1010,2006,0,842 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,366750.0,3,3,1571.0,2017.0,3,no,No,average,1571,0,2008,0,14359 19th Ave NE,Seattle,WA 98125,USA,2014,5,5
2014-05-05,415000.0,3,2,1620.0,998.0,2,no,No,average,1540,80,2010,0,935 4th Ave NE,Issaquah,WA 98029,USA,2014,5,5
2014-05-05,416286.0,3,2,1408.0,989.0,3,no,No,average,1408,0,2005,0,7809 12th Ave NE,Seattle,WA 98115,USA,2014,5,5
2014-05-05,478000.0,3,2,3040.0,4535.0,2,no,No,average,3040,0,2007,0,2027 Ferndale Ave NE,Renton,WA 98056,USA,2014,5,5
2014-05-05,890000.0,5,3,1980.0,6000.0,2,no,No,average,3200,0,2006,0,792 Summerhill Ridge Dr NW,Issaquah,WA 98027,USA,2014,5,5
2014-05-05,419190.0,2,2,1590.0,1426.0,2,no,No,average,1590,0,2014,0,1273 NE Hickory Ln,Issaquah,WA 98029,USA,2014,5,5
2014-05-05,712198.0,4,2,2450.0,4247.0,2,no,No,average,2450,0,2013,1923,17122 NE 117th St,Redmond,WA 98052,USA,2014,5,5
2014-05-06,397000.0,4,2,1440.0,7680.0,1,no,No,average,1200,240,1971,0,10601 NE 138th Pl,Kirkland,WA 98034,USA,2014,5,6
2014-05-06,450000.0,2,2,1100.0,3000.0,1,no,No,average,1100,0,1912,2005,412 NW 70th St,Seattle,WA 98117,USA,2014,5,6
2014-05-06,353000.0,3,1,1350.0,7740.0,1,no,No,good,860,490,1947,1988,11051 35th Ave NE,Seattle,WA 98125,USA,2014,5,6
2014-05-06,609000.0,4,2,2150.0,7683.0,2,no,No,average,2150,0,1985,0,18114 NE 136th St,Redmond,WA 98052,USA,2014,5,6
2014-05-06,234000.0,3,1,1490.0,8366.0,1,no,No,good,1010,480,1975,0,25305 151st Pl SE,Covington,WA 98042,USA,2014,5,6
2014-05-06,561000.0,3,2,2000.0,7000.0,2,no,No,average,2000,0,1916,1986,6422 Marshall Ave SW,Seattle,WA 98136,USA,2014,5,6
2014-05-06,469000.0,2,1,1030.0,4400.0,1,no,No,average,1030,0,1924,2011,310 NW 72nd St,Seattle,WA 98117,USA,2014,5,6
2014-05-06,329350.0,2,1,720.0,6687.0,1,no,No,average,720,0,1942,1999,9712 4th Ave NW,Seattle,WA 98117,USA,2014,5,6
2014-05-06,488000.0,5,2,2020.0,5000.0,1,no,No,good,2020,0,1938,0,9020-9024 11th Ave NW,Seattle,WA 98117,USA,2014,5,6
2014-05-06,279900.0,3,1,1580.0,8151.0,1,no,poor,good,1100,480,1962,0,1629 S 261st Pl,Des Moines,WA 98198,USA,2014,5,6
2014-05-06,606000.0,4,2,2110.0,7683.0,2,no,No,average,2110,0,1987,2000,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA,2014,5,6
2014-05-06,312000.0,4,2,1300.0,7054.0,1,no,No,average,1300,0,1950,2013,2815 SW 107th St,Seattle,WA 98146,USA,2014,5,6
2014-05-06,650000.0,3,1,1630.0,7475.0,1,no,poor,average,1160,470,1940,1996,6009 52nd Ave NE,Seattle,WA 98115,USA,2014,5,6
2014-05-06,469000.0,4,2,3370.0,8103.0,1,no,good,average,1970,0,1970,2014,3922 SW Henderson St,Seattle,WA 98136,USA,2014,5,6
2014-05-06,325000.0,4,2,1890.0,6156.0,1,no,No,average,980,910,1980,0,5631 17th Ave SW,Seattle,WA 98106,USA,2014,5,6
2014-05-06,425000.0,4,2,500.0,7983.0,1,no,No,excellent,500,0,1967,0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,2014,5,6
2014-05-06,219000.0,2,1,900.0,5160.0,1,no,No,average,900,0,1952,2008,8652 17th Ave SW,Seattle,WA 98106,USA,2014,5,6
2014-05-06,250000.0,3,1,1050.0,6874.0,1,no,No,average,1050,0,1954,2005,18305 Dayton Ave N,Shoreline,WA 98133,USA,2014,5,6
2014-05-06,390000.0,3,1,1260.0,6500.0,1,no,No,good,1260,0,1966,0,1415 168th Ave NE,Bellevue,WA 98008,USA,2014,5,6
2014-05-06,475000.0,3,3,3470.0,7683.0,1,no,No,average,3470,0,1924,2011,19007 80th Ave NE,Kenmore,WA 98028,USA,2014,5,6
2014-05-06,736000.0,4,2,2290.0,12047.0,2,no,No,good,2290,0,1988,0,17435 SE 47th St,Bellevue,WA 98006,USA,2014,5,6
2014-05-06,407000.0,4,2,2810.0,7683.0,1,no,poor,average,1710,1100,1958,2004,23024-23198 17th Ave S,Des Moines,WA 98198,USA,2014,5,6
2014-05-06,272000.0,3,2,1650.0,7683.0,2,no,No,average,1650,0,1998,2006,32000-32072 NE 55th St,Carnation,WA 98014,USA,2014,5,6
2014-05-06,362000.0,3,2,1640.0,7683.0,1,no,No,good,1140,500,1963,0,17253 Ambaum Blvd S,Burien,WA 98148,USA,2014,5,6
2014-05-06,535000.0,3,2,1850.0,10109.0,2,no,No,average,1850,0,1991,0,8409 NE 129th Pl,Kirkland,WA 98034,USA,2014,5,6
2014-05-06,284000.0,4,2,2000.0,5390.0,2,no,No,average,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA,2014,5,6
2014-05-06,367500.0,3,1,1410.0,9647.0,1,no,No,average,1410,0,1961,2004,18048 3rd Ave NW,Shoreline,WA 98177,USA,2014,5,6
